album,image,lyrics,title,year,peak
"thank u, next",https://images.genius.com/51d06888c4262227293e86a3a9f5bf45.220x220x1.jpg,"[Verse 1]
Yeah, breakfast at Tiffany's and bottles of bubbles
Girls with tattoos who like getting in trouble
Lashes and diamonds, ATM machines
Buy myself all of my favorite things (Yeah)
Been through some bad shit, I should be a sad bitch
Who woulda thought it'd turn me to a savage?
Rather be tied up with calls and not strings
Write my own checks like I write what I sing, yeah (Yeah)

[Pre-Chorus]
My wrist, stop watchin', my neck is flossy
Make big deposits, my gloss is poppin'
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (Yeah)

[Chorus]
I want it, I got it, I want it, I got it
I want it, I got it, I want it, I got it
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (Yep)

[Verse 2]
Wearing a ring, but ain't gon' be no ""Mrs.""
Bought matching diamonds for six of my bitches
I'd rather spoil all my friends with my riches
Think retail therapy my new addiction
Whoever said money can't solve your problems
Must not have had enough money to solve 'em
They say, ""Which one?"" I say, ""Nah, I want all of 'em""
Happiness is the same price as red-bottoms

[Pre-Chorus]
My smile is beamin' (Yeah), my skin is gleamin' (Is gleamin')
The way it shine, I know you've seen it (You've seen it)
I bought a crib just for (Just for) the closet (Closet)
Both his and hers, I want it, I got it, yeah

[Chorus]
I want it, I got it, I want it, I got it
I want it, I got it, I want it, I got it (Baby)
You like my hair? Gee, thanks, just bought it (Oh yeah)
I see it, I like it, I want it, I got it (Yep)

[Verse 3]
Yeah, my receipts be lookin' like phone numbers
If it ain't money, then wrong number
Black card is my business card
The way it be settin' the tone for me
I don't mean to brag, but I be like, ""Put it in the bag,"" yeah
When you see them racks, they stacked up like my ass, yeah
Shoot, go from the store to the booth
Make it all back in one loop, gimme the loot
Never mind, I got a juice
Nothing but net when we shoot
Look at my neck, look at my jet
Ain't got enough money to pay me respect
Ain't no budget when I'm on the set
If I like it, then that's what I get, yeah

[Chorus]
I want it, I got it, I want it, I got it (Oh yeah)
I want it, I got it, I want it, I got it (Oh yeah, yeah)
You like my hair? Gee, thanks, just bought it
I see it, I like it, I want it, I got it (I see, yep)",7 rings,1/18/2019,1
,https://images.genius.com/1b34aadef5bc71110945c9cd49c8c46d.1000x1000x1.jpg,"[Intro]
A-buh-buh-buh-buh-buh (a-buh-buh-buh-buh-buh)

[Verse 1]
You went to school to learn, boy
Things you never, never knew before
Mmmhmm, like ""I before E, except after C""
And why two plus two makes four
Now, now, now I'm gonna teach you all about love, boy
Sit yourself down, take a seat
All you gotta do is repeat after me

[Chorus]
A, B, C
Easy as 1, 2, 3
Or simple as do-re-mi
A, B, C
1, 2, 3, baby, you and me, boy
A, B, C
Easy as 1, 2, 3
Or simple as do-re-mi
A, B, C
1, 2, 3, baby, you and me, boy

[Verse 2]
Reading, writing, arithmetic
Are the branches of the learning tree
But without the roots of love every day, boy
Your education ain't complete
Te-te-te-teacher's gonna show you how to get an ""A"" (how to get an ""A"")
Spell ""me"" and ""you"" and add the two
Listen to me, baby, that's all you gotta do

[Chorus]
A, B, C
Easy as 1, 2, 3
Or simple as do-re-mi
A, B, C
1, 2, 3, baby, you and me, boy
A, B, C
Easy as 1, 2, 3
Or simple as do-re-mi
A, B, C
1, 2, 3
That's how easy love can be
That's how easy love can be
Sing a simple melody
1, 2, 3, baby, you and me

[Interlude]
C'mon, c'mon, c'mon, c'mon boy

[Bridge]
Shake it, shake it, baby
Shake it, shake it, baby
Shake it shake it, baby
1, 2, 3, baby
A, B, C, baby
Do-re-mi, baby
That's how easy love can be

[Chorus]
A, B, C
Easy as 1, 2, 3
Or simple as do-re-mi
A, B, C
1, 2, 3, baby, you and me, boy

[Bridge]
Lemme teach how to sing it out
C'mon, c'mon, c'mon, lemme show you what it's all about

[Chorus]
A, B, C
Easy as 1, 2, 3
Or simple as do-re-mi
A, B, C
1, 2, 3, baby, you and me, boy
A, B, C
Easy as 1, 2, 3
Or simple as do-re-mi
A, B, C
1, 2, 3, baby, you and me, boy

[Outro]
A, B, C
1, 2, 3
A, B, C
1, 2, 3
Baby, you and me",ABC,6/25/2009,
Unreleased ,https://images.genius.com/275cf721fa35e4cf0c56c55aff7db28b.350x350x1.png,"[Verse 1]
Yeah!
I heard a couple of bad things when you were with me
I used to think it was gossip I shouldn't believe, my bae
And I was going around thinking you were my baby (Oh, yeah)
Boy, you were taking the sugar from every lady (Oh, yeah)

[Pre Chorus]
Oh, it went on and on and on
Yeah, it went on for way too long
Oh, baby

[Chorus]
It ain't about what you got
It's all about what you do with it
Ain't about what you got
It's all about what you do with it
How does someone so sexy be so damn repulsive, baby?
It ain't about what you got
It's all about what you do with it

[Verse 2]
All of my ladies will hit me up saying (Yeah yeah yeah yeah)
You better open your eyes, girl
Your boy's been playing (You know)
Oh yeah
And even though on the outside, you're looking so tasty (Oooh yeah)
Well baby boy, on the inside you're nothing but shady
Na na na na na na

[Pre Chorus]
Boy, it went on and on and on
Yeah, it went on for way too long
Oh, baby

[Chorus]
It ain't about what you got
It's all about what you do with it
Ain't about what you got
It's all about what you do with it
How does someone so sexy be so damn repulsive, baby?
It ain't about what you got
It's all about what you do with it\

[Hook]
It ain't about what
Na na na na na na na
It all about what
Na na na na na na na
It ain't about what
Na na na na na na na
It all about what
Na na na na na na na

[Bridge]
On and on and on (on and on and on)
Went on for way too long (Ooh baby)
On and on and on (Oh baby hey)
Went on for way too long
Oooooooooh

[Chorus]
It ain't about what you got
It's all about what you do with it
Ain't about what you got
It's all about what you do with it
How does someone so sexy be so damn repulsive, baby?
It ain't about what you got
It's all about what you do with it
Na na na na na na na na na
Na na na na na na na na na
Yeah",Ain't About What You Got,3/16/2017,
,https://images.genius.com/285268c9b4e93680f6e01377fb478df9.814x814x1.jpg,"          
            Lyrics for this song have yet to be released. Please check back once the song has been released.
          
        ",All I Need,,
,https://images.genius.com/87b97bae57d9d481f8823da7ae8e2422.1000x1000x1.jpg,"I don't want a lot for Christmas
There is just one thing I need
I don't care about the presents
Underneath the Christmas tree

I just want you for my own
More than you could ever know
Make my wish come true
All I want for Christmas is you

I don't want a lot for Christmas
There is just one thing I need
And I don't care about the presents
Underneath the Christmas tree

I don't need to hang my stocking
There upon the fireplace
Santa Claus won't make me happy
With a toy on Christmas day

I just want you for my own
More than you could ever know
Make my wish come true
All I want for Christmas is you
You, baby

Oh, I won't ask for much this Christmas
I won't even wish for snow
And I, I'm just gonna keep on waiting
Underneath the mistletoe

I won't make a list and send it
To the North Pole for Saint Nick
I won't even stay awake
To hear those magic reindeer click

'Cause I just want you here tonight
Holding on to me so tight
What more can I do?
Oh, baby all I want for Christmas is you
You, baby

Oh, all the lights are shining
So brightly everywhere
And the sound of childrens'
Laughter fills the air

And everyone is singing
I hear those sleigh bells ringing
Santa, won't you bring me
The one I really need?
Won't you please bring my baby to me quickly?

Oh, I don't want a lot for Christmas
This is all I'm asking for
I just wanna see my baby
Standing right outside my door

Oh, I just want you for my own
More than you could ever know
Make my wish come true
Oh, baby all I want for Christmas is you
You, baby

All I want for Christmas is you, baby
All I want for Christmas is you, baby
All I want for Christmas is you, baby
All I want for Christmas is you, baby",All I Want for Christmas Is You,,
Yours Truly,https://images.rapgenius.com/7f68beb736101c0b0adc993b13f23af3.1000x1000x1.jpg,"[Verse 1: Ariana Grande]
I'd like to say we gave it a try
I'd like to blame it all on life
Maybe we just weren't right
But that's a lie, that's a lie

[Pre-Chorus: Ariana Grande]
And we can deny it as much as we want
But in time our feelings will show
'Cause sooner or later we'll wonder why we gave up
The truth is, everyone knows

[Chorus: Ariana Grande]
Almost, almost is never enough
So close to being in love
If I would have known that you wanted me the way I wanted you
Then maybe we wouldn't be two worlds apart
But right here in each others arms
And we almost, we almost knew what love was
But almost is never enough

[Verse 2: Nathan Sykes]
If I could change the world overnight
There'd be no such thing as goodbye
You'd be standing right where you were
And we'd get the chance we deserve, oh

[Pre-Chorus: Nathan Sykes]
Try to deny it as much as you want
But in time our feelings will show
'Cause sooner or later we'll wonder why we gave up
The truth is everyone knows

[Chorus: Ariana Grande & Nathan Sykes]
Almost, almost is never enough
So close to being in love
If I would have known that you wanted me the way I wanted you
Then maybe we wouldn't be two worlds apart
But right here in each others arms
And we almost, we almost knew what love was
But almost is never enough

[Bridge: Ariana Grande & Nathan Sykes]
Huh-huh, baby
You know, you know, baby
Almost, is never enough, baby
You know, hey
And we can deny it as much as we want
But in time our feelings will show
'Cause sooner or later we'll wonder why we gave up
The truth is, everyone knows

[Chorus: Ariana Grande & Nathan Sykes]
Almost, almost is never enough (is never enough, baby)
So close to being in love (so close)
If I would have known that you wanted me
The way I wanted you
Then maybe we wouldn't be two worlds apart
But right here in each others arms
And we almost, we almost knew what love was (baby)
But almost is never enough

[Outro: Ariana Grande]
Huh-huh, baby (almost)
You know, you know, baby
Almost, is never enough, baby
You know, hey",Almost Is Never Enough,8/19/2013,
,https://images.genius.com/285268c9b4e93680f6e01377fb478df9.814x814x1.jpg,"As of August 2016, Ariana Grande has 13 tattoos, but only 11 of them are known.

First tattooed heart

Mille Tendresse

Bellissma

Moon

Honeymoon

אלד

Second tattooed heart

Hi

Babydoll

Female/ Venus Symbol

A",Ariana Grande's Tattoos,,
Yours Truly,https://images.genius.com/fddd96754f2a82832a6d1cfe6e8dac15.1000x1000x1.jpg,"[Verse 1]
Baby, I got love for thee so deep inside of me
I don’t know where to start
Yeah, yeah
I love you more than anything
But the words can’t even touch what’s in my heart
No, no

[Pre-Chorus 1]
When I try to explain it, I be sounding insane
The words don’t ever come out right
I get all tongue-tied and twisted
I can’t explain what I’m feeling
And I say baby, baby (oh-woah, oh-woah), baby

[Chorus]
(Baby, I) Oh baby, oh baby, my baby
(Baby, I) Oh baby, baby, I
(Baby, I) All I’m tryna say is you’re my everything, baby
But every time I try to say it, words, they only complicate it
Baby, baby (oh-woah, oh-woah)

[Verse 2]
Baby, I’m so down for you
No matter what you do (real talk), I’ll be around
Yeah, yeah
Ooh, baby
Baby, I been feeling you before I even knew what feelings were about
Oh, baby

[Pre-Chorus 2]
When I try to explain it, I be sounding all crazy
Words don’t ever come out right
I get all tongue-tied and (twisted)
I can’t explain what I’m (feeling)
And I say baby, baby (oh-woah, oh-woah), baby

[Chorus]
(Baby, I) Oh baby, oh baby, my baby
(Baby, I) Oh baby, baby, I
(Baby, I) All I’m tryna say is you’re my everything, (baby)
But every time I try to say it, words, they only complicate it
Baby, baby (oh-woah, oh-woah)
(Baby, baby) Ooh-woah

[Bridge]
Straight up
You got me all in
How could I not be?
I sure hope you know (I sure hope you know)
If it’s even possible, I love you more than the word “love” can say, yeah
It’s better not explaining
That's why I keep saying

[Chorus]
(Baby, I) Oh baby, oh baby, my baby
(Baby, I) Oh baby, baby, I
(Baby, I) All I’m tryna say is you’re my everything, baby
But every time I try to say it, words, they only complicate it
Baby, baby (oh-woah, oh-woah)
Baby (baby, baby), baby, I
Oh baby, oh baby, my baby
(Baby, I) Oh baby, baby, I
(Baby, I) All I’m tryna say is you’re my everything, baby
But every time I try to say it, words, they only complicate it
Every time I try to say it words, they only complicate it
Every time I try to say it words, they only complicate it
Baby, baby (oh-woah, oh-woah)
Baby, baby",Baby I,7/22/2013,21
Dangerous Woman,https://images.genius.com/a0457334423b0d9e793d779a9512e90a.1000x1000x1.jpg,"[Verse 1]
Boy, you know that you drive me crazy
But it's one of the things I like
Cause I know when you need it, baby
That I got that, ooh ooh
Let 'em keep, let 'em keep on talkin'
But it don't matter what they say
Cause you know when you hear me knockin'
Gonna get that, ooh ooh

[Pre-Chorus]
I've been doing stupid things
Wilder than I've ever been
You've become my favorite sin
So let 'em keep, let 'em keep on talking
That's right

[Chorus]
We got that hood love
We got that good love
We got that hot love
We got that ""I don't give a what"" love
We got that one life
Gimme that all night
We got that Bonnie and Clyde love
They say it's wrong, but that's the way you turn me on
We got that hood love
We got that good love
Make me make bad
Boy, you make me make bad decisions
Bad, boy, you make me make bad decisions

[Verse 2]
No, they ain't gonna understand it
Understand what I see in you
They don't know when you touch my body
That I see the truth
Let 'em keep, let 'em keep on talking
Cause I know that I got someone
Anytime that I need some danger
Gonna get that, ooh ooh

[Pre-Chorus]
I've been doing stupid things
Wilder than I've ever been
You've become my favorite sin
So let 'em keep, let 'em keep on talking
That's right

[Chorus]
We got that hood love
We got that good love
We got that hot love
We got that ""I don't give a what"" love
We got that one life
Gimme that all night
We got that Bonnie and Clyde love
They say it's wrong, but that's the way you turn me on
We got that hood love
We got that good love
Make me make bad
Boy, you make me make bad decisions
Bad, boy, you make me make bad decisions

[Bridge]
Don't you know I ain't fuckin' with them good boys?
Know you love me like ain't nobody could, boy
If you want it, boy, you got it
Ain’t you ever seen a princess be a bad bitch?

[Chorus]
We got that hood love
We got that good love
We got that hot love
We got that ""I don't give a what"" love
We got that one life
Gimme that all night
We got that Bonnie and Clyde love
They say it's wrong, but that's the way you turn me on
We got that hood love
We got that good love
Make me make bad
Boy, you make me make bad decisions
Bad, boy, you make me make bad decisions
Bad, boy, you make me make bad decisions
Bad, boy, you make me make bad decisions",Bad Decisions,5/20/2016,
Dangerous Woman,https://images.genius.com/a0457334423b0d9e793d779a9512e90a.1000x1000x1.jpg,"[Verse 1]
Midnight shadows
When finding love is a battle
But daylight is so close
So don't you worry 'bout a thing

[Chorus]
We're gonna be alright
We're gonna be alright
We're gonna be alright

[Refrain]
Baby don't you know
All of them tears gon' come and go
Baby you just gotta make up your mind
That every little thing is gonna be alright
Baby don't you know
All of them tears gon' come and go
Baby you just gotta make up your mind
We decide it

[Chorus]
We're gonna be alright
We're gonna be alright
We're gonna be alright

[Verse 2]
In slow motion
Can't seem to get where we're going
But the hard times are golden
Cause they all lead to better days

[Chorus]
We're gonna be alright
We're gonna be alright
We're gonna be alright

[Refrain]
Baby don't you know
All of them tears gon' come and go
Baby you just gotta make up your mind
That every little thing is gonna be alright
Baby don't you know
All of them tears gon' come and go
Baby you just gotta make up your mind
We decide it

[Chorus]
We're gonna be alright
We're gonna be alright, ooh baby
We're gonna be alright
We're gonna be alright",Be Alright,3/18/2016,43
